idno,int_use_day_mins
13905,
9696,135.0
62313,
37102,250.0
62014,
16457,240.0
31024,
16172,180.0
63736,150.0
10273,120.0
58209,120.0
11854,70.0
25515,90.0
58473,150.0
48218,60.0
18534,120.0
26524,
24636,75.0
46075,300.0
8403,
